"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-24","6.04"," 1307","0.00",,"78","54","  220","  230","15.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-25","14.09"," 1842","0.00",,"81","65","  220","  220","29.1","40.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-26",,,,,"83","66","  250","  210","25.9","44.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-27","12.75"," 1827","0.02",,"79","66","  210","  240","19.9","25.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-28","4.47"," 1428","0.00",,"76","56","  170","  180","15.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-29","7.83"," 1657","0.07",,"81","60","  200","  170","16.1","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-30","11.41"," 2352","1.12",,"81","51","   30","   30","21.0","28.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-31","12.30"," 1331","0.96",,"51","48","   10","   30","21.0","30.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-01","8.50"," 1305","0.00",,"62","46","   20","   30","17.0","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-02","5.82"," 1329","0.00",,"69","45","   70","   70","15.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-03","6.93"," 1540","0.00",,"71","50","   90","  110","13.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-04","6.04"," 1553","0.00",,"79","59","  170","  170","14.1","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-05","6.93"," 1915","0.12",,"81","60","   10","   20","21.0","27.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-06","8.05"," 0347","0.00",,"71","52","   20","   20","15.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-07","8.95"," 1738","0.17",,"80","50","  250","  240","25.1","33.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-08","11.41"," 2045","0.22",,"79","63","  260","  250","23.9","36.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-09","6.71"," 1239","0.00",,"78","61","  280","  280","15.0","19.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-10","11.63"," 1222","0.21",,"89","63","  240","  250","25.9","36.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-11","6.49"," 2140","0.00",,"72","58","  110","   70","12.1","15.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-12","8.05"," 1348","0.00",,"80","58","  270","  270","18.1","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-13","6.26"," 1302","0.13",,"70","57","   90","   90","13.0","15.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-14","5.82"," 1401","0.82",,"82","63","  290","  290","18.1","25.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-15","6.26"," 1446","0.54",,"85","70","  240","  250","21.0","27.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-16","8.28"," 1824","0.04",,"83","62","   80","   70","16.1","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-17","5.82"," 1820","0.04",,"74","58","  120","  120","13.0","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-18","6.04"," 2257","0.02",,"81","64","  360","  360","19.9","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-19","7.61"," 0045","0.00",,"73","56","   10","   10","16.1","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-20","6.71"," 0648","0.10",,"75","53","  100","   80","12.1","14.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-21","6.93"," 1922","0.00",,"84","67","  260","  240","15.0","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-22","9.62"," 1757","0.05",,"83","62","  200","  210","25.1","38.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-23","9.17"," 0105","0.50",,"80","67","  260","  270","21.9","31.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-24","4.92"," 1608","0.00",,"80","56","  170","  140","14.1","19.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-25","2.46"," 1527","0.00",,"75","62","  210","  230","13.0","15.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-26","7.38"," 1113","0.00",,"75","60","   80","  120","15.0","21.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-27","15.66"," 1721","1.55",,"66","56","   10","   40","28.0","42.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-28","10.51"," 1018","0.01",,"76","58","   10","   20","25.1","32.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-29","6.71"," 1301","0.00",,"77","59","  180","  190","19.9","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-06-30","4.03"," 1750","0.37",,"77","63","   60","   50","14.1","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-01","5.82"," 1158","0.10",,"72","60","   10","  330","13.0","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-02","7.16"," 1642","0.00",,"73","58","   80","   80","14.1","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-03","3.36"," 1637","0.00",,"73","53","  110","  120","10.1","15.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-04","4.25"," 1339","0.00",,"78","56","  120","  110","10.1","14.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-05","4.70"," 1333","0.00",,"81","61","  110","  340","12.1","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-06","6.04"," 1149","0.00",,"84","59","  200","  140","13.0","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-07","10.29"," 0900","0.17",,"79","61","  220","  230","18.1","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-08","4.92"," 1310","0.00",,"65","55","   60","  190","12.1","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-09","5.14"," 1003","0.47",,"75","60","  360","   20","12.1","15.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-10","3.80"," 1250","0.00",,"78","56","  150","  130","13.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-11","4.47"," 1401","0.00",,"82","60","  200","  180","14.1","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-07-12","3.80"," 1543","0.00",,"78","65","  130","  150","13.0","17.0",,,,
